Number of parameters: 990
Epoch 33: Loss = 0.475773, accuracy = 82.6500 %
Epoch 34: Loss = 0.475967, accuracy = 82.3500 %
Epoch 35: Loss = 0.473532, accuracy = 82.8000 %
Epoch 36: Loss = 0.472959, accuracy = 82.8500 %
Epoch 37: Loss = 0.472357, accuracy = 82.8000 %
Epoch 38: Loss = 0.470286, accuracy = 83.0500 %
Epoch 39: Loss = 0.471034, accuracy = 82.4500 %


Number of parameters: 990
Epoch 0: Loss = 1.328463, accuracy = 50.8000 %
Epoch 1: Loss = 0.842760, accuracy = 69.4500 %
Epoch 2: Loss = 0.745735, accuracy = 72.4000 %
Epoch 3: Loss = 0.688918, accuracy = 74.6500 %
Epoch 4: Loss = 0.665719, accuracy = 75.0000 %
Epoch 5: Loss = 0.634413, accuracy = 75.6000 %
Epoch 6: Loss = 0.613970, accuracy = 77.8000 %
Epoch 7: Loss = 0.595502, accuracy = 78.2000 %
Epoch 8: Loss = 0.585678, accuracy = 77.7000 %
Epoch 9: Loss = 0.574044, accuracy = 78.7500 %
Epoch 10: Loss = 0.556332, accuracy = 79.8000 %
Epoch 11: Loss = 0.551669, accuracy = 80.1500 %
Epoch 12: Loss = 0.548676, accuracy = 80.0500 %
Epoch 13: Loss = 0.538463, accuracy = 79.5000 %
Epoch 14: Loss = 0.538570, accuracy = 80.2000 %
Epoch 15: Loss = 0.527885, accuracy = 80.6500 %
Epoch 16: Loss = 0.520649, accuracy = 81.1500 %
Epoch 17: Loss = 0.516872, accuracy = 81.1000 %
Epoch 18: Loss = 0.508655, accuracy = 81.8500 %
Epoch 19: Loss = 0.507288, accuracy = 82.0000 %
Epoch 20: Loss = 0.505366, accuracy = 81.9000 %
Epoch 21: Loss = 0.504050, accuracy = 82.0500 %
Epoch 22: Loss = 0.498290, accuracy = 82.6000 %
Epoch 23: Loss = 0.492534, accuracy = 82.2000 %
Epoch 24: Loss = 0.494443, accuracy = 82.3000 %
Epoch 25: Loss = 0.490293, accuracy = 82.5000 %
Epoch 26: Loss = 0.489152, accuracy = 82.2500 %
Epoch 27: Loss = 0.487845, accuracy = 82.5500 %
Epoch 28: Loss = 0.485712, accuracy = 82.8500 %
Epoch 29: Loss = 0.482666, accuracy = 82.4000 %
Epoch 30: Loss = 0.483402, accuracy = 82.8500 %
Epoch 31: Loss = 0.480913, accuracy = 83.0500 %
Epoch 32: Loss = 0.480092, accuracy = 82.7000 %
Epoch 33: Loss = 0.478266, accuracy = 83.0500 %
Epoch 34: Loss = 0.478647, accuracy = 83.0500 %
Epoch 35: Loss = 0.478558, accuracy = 82.7000 %
Epoch 36: Loss = 0.476098, accuracy = 82.9500 %
Epoch 37: Loss = 0.475147, accuracy = 82.8500 %
Epoch 38: Loss = 0.475407, accuracy = 82.9500 %
Epoch 39: Loss = 0.474354, accuracy = 82.8500 %


Number of parameters: 990
Epoch 0: Loss = 1.220439, accuracy = 57.0000 %
Epoch 1: Loss = 0.803786, accuracy = 70.4000 %
Epoch 2: Loss = 0.720984, accuracy = 72.6000 %
Epoch 3: Loss = 0.662349, accuracy = 75.2000 %
Epoch 4: Loss = 0.642810, accuracy = 75.6500 %
Epoch 5: Loss = 0.618617, accuracy = 76.6000 %
Epoch 6: Loss = 0.601655, accuracy = 77.9000 %
Epoch 7: Loss = 0.594688, accuracy = 77.6500 %
Epoch 8: Loss = 0.564937, accuracy = 78.8000 %
Epoch 9: Loss = 0.557343, accuracy = 79.8000 %
Epoch 10: Loss = 0.549502, accuracy = 79.9000 %
Epoch 11: Loss = 0.552438, accuracy = 79.6000 %
Epoch 12: Loss = 0.532151, accuracy = 79.6500 %
Epoch 13: Loss = 0.525806, accuracy = 80.0000 %
Epoch 14: Loss = 0.513539, accuracy = 81.3000 %
Epoch 15: Loss = 0.513626, accuracy = 80.8000 %
Epoch 16: Loss = 0.505110, accuracy = 81.8000 %
Epoch 17: Loss = 0.502052, accuracy = 81.4000 %
Epoch 18: Loss = 0.498529, accuracy = 81.8500 %
